Asset,Alpha,Alpha_pvalue,Beta,Beta_pvalue,R_Squared,Adj_R_Squared,N_Obs
MSFT,0.0006962171644343826,0.07408027232642739,1.2444926604191349,5.5438008849392746e-117,0.34336292426682913,0.3430846882177896,2362
GE,0.0003100969517514301,0.17134545145270236,1.2441284248981808,5.031676678850679e-260,0.559117541063713,0.5589307264624688,2362
FORD,-0.00027693133119049306,0.4366730813909222,0.9731734515305747,1.5154144969158828e-63,0.23999675087716965,0.23967471560211762,2362
