Date,SP500_Excess_SIMPLE,MSFT_Excess_SIMPLE,GE_Excess_SIMPLE,FORD_Excess_SIMPLE
1993-11-02,-0.0015307590015328754,-0.008060317460317433,-0.004588095238095111,0.018258543417366883
1993-11-03,-0.011692540726192833,-0.020122222222222128,-0.007596063776781324,-0.008545808263136865
1993-11-04,-0.012065153978743996,-0.02869325396825409,-0.02723025913176516,-0.03167522345507781
1993-11-05,0.004424722068693016,0.029289939309057073,0.00452213745147187,-0.005134356725146199
1993-11-08,0.0012711775603902252,-0.00012142857142857144,-0.004743924719348446,0.009954138179201023
1993-11-09,0.0001373378285207192,-0.004205045351473972,0.007616525382082525,-0.010098475042552284
1993-11-10,0.007240869447004924,0.03676183320322663,0.0014126856118791907,0.01373049158370327
1993-11-12,0.00347789843761754,0.007781725641508205,-0.007792124354854372,0.0023610593512767915
1993-11-15,-0.003647338867861997,-0.015809687208216676,0.004513372463874795,0.00359405942054631
1993-11-16,0.006324820305480723,0.019797699677480757,0.02295430402930417,-0.0001226190476190476
1993-11-17,-0.004257683537484939,-0.01574761904761905,0.0013811403508770708,-0.003826322751322701
1993-11-18,-0.00268320175541946,-0.008059523809523782,0.008885993135993043,0.009790243110875186
1993-11-19,-0.0023234903482120465,-0.0001234126984126984,0.007317063492063577,-0.012393351348719377
1993-11-22,-0.007624890371193957,-0.04012380952380956,-0.0001238095238095238,-0.03490641821946183
1993-11-23,0.0040148487961530555,0.004043253968254176,0.0028307970504794573,-0.0001234126984126984
1993-11-24,0.002761432105613256,0.016474097675031225,-0.0074871829487808605,0.023042610467610643
1993-11-26,0.0013909559238523123,0.0039586167800451785,0.007295381753096754,0.0036505690326445036
1993-11-29,-0.002628487634706071,0.008006668602400242,-0.006014428898707228,0.008648517126148732
1993-11-30,-0.0003627499596214974,0.003907654889913062,0.004319841269841298,-0.016273671497584637
1993-12-01,9.313594924082659e-05,0.01995690858672789,0.0028264398089618632,0.030179617604617577
1993-12-02,0.0025179088283577363,0.015624618797650265,0.013111881419234313,-0.006250863678804944
1993-12-03,0.003720166580808156,0.0347603082318197,0.001327966111456865,0.014673134773843972
1993-12-06,0.0031899925379173704,-0.011358574103798738,0.0027759316770184688,-0.003767819533645948
1993-12-07,0.0005852794393347529,0.007453535353535347,-0.0059025690430315235,0.0071948509485094915
1993-12-08,-0.0011291636910712762,-0.022678613199665885,0.005691731266149881,-0.0025435297282754054
1993-12-09,-0.004646112704233778,-0.027044108669108797,0.0056593150747775555,0.004733337186007087
1993-12-10,-0.0006596159159658769,0.007784106593889157,0.005626094690749912,0.013163992408557685
