Asset,Alpha,Alpha_PValue,Alpha_Significant,Beta,Beta_PValue,R_Squared,Adj_R_Squared,N_Obs
Msft,0.0006962171644343826,0.08912363209532874,False,1.2444926604191349,7.783648938516147e-218,0.34336292426682913,0.3430846882177896,2362
GE,0.0003100969517514301,0.23810631349739905,False,1.2441284248981808,0.0,0.559117541063713,0.5589307264624688,2362
Ford,-0.00027693133119049306,0.5014731885334917,False,0.9731734515305747,7.708765261850319e-143,0.23999675087716965,0.23967471560211762,2362
