Asset,Period,Alpha,Alpha_pvalue,Beta,Beta_pvalue,R2,N_obs
Msft,1993-01-01 to 1997-12-31,0.0009316881828823237,0.07453748690808563,1.2901589178060022,1.3895748340150501e-71,0.26393886883104034,1047
Msft,1998-01-01 to 2000-12-31,-8.772536194768285e-05,0.9157389868200037,1.3408867000448523,1.4671301288340542e-75,0.3621228183055193,755
Msft,2001-01-01 to 2003-12-31,0.0011490728400866792,0.19389128141817139,1.1302126976753661,4.042818783427604e-64,0.40110404597147287,560
GE,1993-01-01 to 1997-12-31,0.00034025784773795216,0.24072000918644657,1.2320591723870775,3.2686535947185773e-166,0.5146190518670049,1047
GE,1998-01-01 to 2000-12-31,0.0005137408495183074,0.32617679878128286,1.0967860347689915,1.1377110927036045e-111,0.4883210215692737,755
GE,2001-01-01 to 2003-12-31,0.00015286757746610862,0.8147184255821702,1.3913629802995906,1.4327224792168164e-129,0.6507505866332222,560
Ford,1993-01-01 to 1997-12-31,-9.285823265430622e-05,0.8377420882563938,0.9473995858922013,9.09898571689287e-54,0.2040137842146882,1047
Ford,1998-01-01 to 2000-12-31,0.00010083400810718523,0.9001241449917012,0.8950651520558368,6.197840027660875e-41,0.21223016013491613,755
Ford,2001-01-01 to 2003-12-31,-0.0010149244252107316,0.34080399716914306,1.0575724806000952,4.95984775762719e-43,0.2876681135147807,560
