Series,N,Mean,Std,Min,Max,Skew,Kurtosis
SP500,2362,9.260975778564632e-05,0.011557464267898445,-0.07132387470018864,0.05567924470833513,-0.09800622079924197,3.2473573006727814
MSFT,2362,0.0008114693282818136,0.02454585698783529,-0.16991415926069237,0.17858287165901823,-0.10350667520818287,3.9493787071389383
GE,2362,0.0004253153838354884,0.019229864022784544,-0.11309297177536672,0.1173946319636034,0.025428025838122443,3.0665063475753516
FORD,2362,-0.00018680597356082507,0.022958850022290755,-0.15879352368924898,0.14484850669187416,0.11779955421077908,3.9521511406612144
