Date,SP500_Excess,MSFT_Excess,GE_Excess,FORD_Excess
1993-11-02,-0.0015317496842853925,-0.00809197917298637,-0.00459808991873049,0.018091630367531596
1993-11-03,-0.011759997698592055,-0.020324929539741576,-0.007624132874016879,-0.008581487168198797
1993-11-04,-0.01213704854120112,-0.02910936227007781,-0.027604471090657404,-0.03218375785648832
1993-11-05,0.0044144177426982505,0.028865711476427008,0.0045113875246628014,-0.00514696159949844
1993-11-08,0.0012702087837828978,-0.00012142857142857144,-0.004754641492916715,0.009903718047950075
1993-11-09,0.00013730383901046462,-0.004213397949937864,0.007586725727554563,-0.010148559317791406
1993-11-10,0.007213885518439084,0.03609785073590566,0.0014115070196710424,0.013635403473015048
1993-11-12,0.003471429243735989,0.0077506437324931675,-0.007821680124165042,0.0023579781529727774
1993-11-15,-0.0036535625211173155,-0.015934018725055014,0.004502655690369545,0.003587166698122855
1993-11-16,0.0063041244774738065,0.01960188630015974,0.022692058718552434,-0.0001226190476190476
1993-11-17,-0.004266256558143264,-0.015870976015758216,0.0013800108369158273,-0.003833198444154649
1993-11-18,-0.0026864846356818924,-0.008091185522192719,0.008845654109744442,0.009741429097898142
1993-11-19,-0.0023259140746213465,-0.0001234126984126984,0.007289519690712835,-0.012469248520711965
1993-11-22,-0.007653164960190985,-0.04094580404406469,-0.0001238095238095238,-0.035525736574725596
1993-11-23,0.004006309741841281,0.0040345974502512,0.00282644194800842,-0.0001234126984126984
1993-11-24,0.0027572789264425517,0.016337864355659232,-0.007514429344801765,0.022778351588271933
1993-11-26,0.001389811023969871,0.003950309514619775,0.007268000773373089,0.003643466922460992
1993-11-29,-0.002631630584905344,0.007973797534206604,-0.006031849384578981,0.008610267270341932
1993-11-30,-0.0003627783210699859,0.003899547125122373,0.0043099938932626,-0.016405488778740786
1993-12-01,9.311250596677142e-05,0.019757957855416296,0.002822097531344046,0.02972955045126843
1993-12-02,0.0025144266689744606,0.015501905204668116,0.013025060145093442,-0.006269713547106876
1993-12-03,0.0037127989027722573,0.03416566078021925,0.001326913879233985,0.014564733863244387
1993-12-06,0.003184517927000468,-0.011422174301552328,0.0027717389787452877,-0.003774479466390232
1993-12-07,0.0005850292780202763,0.0074249834131606815,-0.00591933990654818,0.007168211040457052
1993-12-08,-0.001129670997212439,-0.02293689998839362,0.005674895462103692,-0.0025464658337285024
1993-12-09,-0.004656381873999526,-0.02741317403403937,0.005642672970718388,0.004721592729756245
