Asset,BP_pvalue,DW_stat,LB_pvalue_lag5,LB_pvalue_lag10,N_obs
Msft,0.7234407626050408,2.021411781570581,0.3197247826572321,0.3987801207397538,2362
GE,0.4224470469866308,2.049561589420153,0.00685365008106895,0.036096943073979204,2362
Ford,0.024739270523043384,2.260064929876687,1.0899730422630702e-08,2.5376521735109033e-07,2362
